sta,lat,lon,net,count
ASQU,43.7967,11.7893,IV,253
ATBU,43.4757,12.5483,IV,247
ATFO,43.3666,12.5715,IV,259
ATMC,43.4468,12.1928,IV,251
ATPC,43.4807,12.4570,IV,256
ATVO,43.3821,12.4066,IV,249
BDI,44.0624,10.5970,IV,260
BOB,44.7679,9.4478,IV,249
CAFI,43.3292,11.9663,IV,255
CARD,44.0260,10.4821,GU,253
CASP,42.7908,10.8652,IV,247
CAVE,44.8658,11.0031,IV,258
CPGN,43.8011,12.3205,IV,261
CRMI,43.7956,10.9795,IV,241
FIR,43.7744,11.2551,IV,238
FROS,43.2097,11.1562,IV,238
GORR,44.6071,9.2926,GU,256
GRAM,44.4913,10.0658,GU,258
IMOL,44.3595,11.7425,IV,254
MAIM,43.9142,10.4915,GU,263
MAON,42.4283,11.1309,IV,235
MGAB,42.9126,12.1121,IV,252
MILN,45.4803,9.2321,IV,252
MMUR,43.4418,12.9973,IV,247
MNTV,45.1495,10.7897,IV,251
MODE,44.6297,10.9492,IV,255
MPAG,43.6292,12.7595,IV,254
MSSA,44.3162,9.5174,IV,247
MTRZ,44.3128,11.4248,IV,253
MURB,43.2630,12.5246,IV,253
ORZI,45.4056,9.9307,IV,255
PII,43.7219,10.5250,IV,156
PRMA,44.7637,10.3131,IV,252
RMP,41.8111,12.7022,IV,252
SACS,42.8491,11.9097,IV,251
SNTG,43.2550,12.9406,IV,248
TRIF,43.1148,10.9026,IV,227
VLC,44.1594,10.3864,MN,249
ZCCA,44.3509,10.9765,IV,252
